Tap (pu) CEABaseline,Tap (pu) CEASmoothing
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
1.0125,1.0125
